Seed,TeamName,TeamID
W01,Uconn,1163
W02,Iowa State,1235
W03,Illinois,1228
W04,Auburn,1120
W05,San Diego St,1361
W06,BYU,1140
W07,Washington St,1450
W08,FAU,1194
W09,Northwestern,1321
W10,Drake,1179
W11,Duquesne,1182
W12,UAB,1412
W13,Yale,1463
W14,Morehead St,1287
W15,S Dakota St,1355
W16,Stetson,1391
X01,North Carolina,1314
X02,Arizona,1112
X03,Baylor,1124
X04,Alabama,1104
X05,Saint Mary's,1388
X06,Clemson,1155
X07,Dayton,1173
X08,Mississippi St,1280
X09,Michigan St,1277
X10,Nevada,1305
X11,New Mexico,1307
X12,Grand Canyon,1213
X13,Charleston,1149
X14,Colgate,1159
X15,Long Beach St,1253
X16,WAG,1447
Y01,Houston,1222
Y02,Marquette,1266
Y03,Kentucky,1246
Y04,Duke,1181
Y05,Wisconsin,1458
Y06,Texas Tech,1403
Y07,Florida,1196
Y08,Nebraska,1304
Y09,Texas A&M,1401
Y10,COL,1160
Y11,NC State,1301
Y12,James Madison,1241
Y13,Vermont,1436
Y14,Oakland,1324
Y15,Western KY,1443
Y16,Longwood,1255
Z01,Purdue,1345
Z02,Tennessee,1397
Z03,Creighton,1166
Z04,Kansas,1242
Z05,Gonzaga,1211
Z06,South Carolina,1376
Z07,Texas,1400
Z08,Utah State,1429
Z09,TCU,1395
Z10,CSU,1161
Z11,Oregon,1332
Z12,McNeese,1270
Z13,Samford,1359
Z14,Akron,1103
Z15,Saint Peter's,1389
Z16,GRAM,1212
